group_name	nce	contrast_angle
GlyGly (Ub)	30.393684	0.780697
Unmodified	33.997020	0.902654
Unmodified	34.999999	0.875589
Unmodified	34.105602	0.909492
Unmodified	32.507518	0.913974
Phospho	34.999999	0.791095
Pyro-Glu	33.513042	0.913108
TMT6plex	32.434788	0.859297
TMT6plex	26.809570	0.661793
TMT6plex	31.450266	0.766551
Unmodified	32.385385	0.917405
Unmodified	31.431705	0.670862
mixed	34.155869	0.786127
Oxidation	32.500419	0.916089
mixed	34.206864	0.598983
mixed	34.999999	0.295751
Unmodified	33.006793	0.765286
Unmodified	31.099966	0.940247
TMT6plex	33.204722	0.775435
TMT6plex	34.209150	0.858905
TMT6plex	31.758189	0.822617
TMT6plex	32.652012	0.729934
GlyGly (Ub)	31.359366	0.758703
Unmodified	34.999999	0.760547
Unmodified	33.646598	0.904863
mixed	33.138344	0.925292
Methyl	34.999999	0.821392
Unmodified	32.506213	0.905082
TMT6plex	40.340105	0.928334
TMT6plex	32.320833	0.918263
Unmodified	31.892979	0.889600
TMT6plex	34.999999	0.920399
Oxidation	31.555882	0.714666
mixed	32.339609	0.643691
mixed	34.676784	0.907292
Unmodified	32.242209	0.936951
TMT6plex	31.916085	0.700948
TMT6plex	34.999999	0.931358
TMT6plex	33.241051	0.892019
Unmodified	34.999999	0.920933
Oxidation	33.250669	0.951525
TMT6plex	33.395454	0.826680
TMT6plex	32.225823	0.932077
Unmodified	31.969953	0.966481
TMT6plex	33.354583	0.803656
Oxidation	32.828015	0.855006
Unmodified	33.827096	0.779827
TMT6plex	34.044430	0.913383
Unmodified	33.087441	0.868224
Acetyl	34.999999	0.805739
TMT6plex	33.767360	0.625194
Unmodified	34.999999	0.949608
Unmodified	33.181670	0.962616
Unmodified	32.828015	0.913356
Unmodified	31.311229	0.867991
Unmodified	34.999999	0.823707
Unmodified	31.841728	0.904142
TMT6plex	31.387424	0.785963
GlyGly (Ub)	34.999999	0.794727
Unmodified	32.441971	0.923907
TMT6plex	26.323643	0.716437
Phospho	34.999999	0.766323
Unmodified	32.023016	0.893857
Acetyl	31.270459	0.879187
Unmodified	31.702515	0.859392
GlyGly (Ub)	32.165512	0.846045
Unmodified	31.772050	0.943705
Unmodified	31.553942	0.816896
Unmodified	32.970542	0.762626
mixed	32.311276	0.864895
Unmodified	32.866049	0.865132
GlyGly (Ub)	34.999999	0.802158
Oxidation	34.336072	0.748119
Unmodified	31.707072	0.737865
TMT6plex	32.138851	0.830940
Unmodified	32.521549	0.814720
mixed	33.930707	0.694888
Methyl	31.009245	0.584928
Unmodified	32.333964	0.857384
Oxidation	34.999999	0.842327
TMT6plex	33.205473	0.913399
Unmodified	34.999999	0.855743
TMT6plex	32.692790	0.525229
Unmodified	31.667638	0.940704
Unmodified	34.999999	0.742920
Unmodified	34.999999	0.869638
Phospho	34.999999	0.874146
Unmodified	32.498640	0.915085
Unmodified	32.942128	0.634879
mixed	33.761278	0.911875
TMT6plex	25.579622	0.803540
TMT6plex	33.272886	0.858286
Unmodified	34.336072	0.899814
Unmodified	31.654528	0.777142
Oxidation	31.195468	0.918081
Acetyl	34.999999	0.961031
TMT6plex	31.116107	0.927944
Oxidation	32.203460	0.953377
Unmodified	30.207452	0.806000
Unmodified	33.425391	0.914004
Unmodified	33.210000	0.917820
TMT6plex	30.505645	0.791544
Acetyl	34.999999	0.546286
Unmodified	32.378396	0.847724
Unmodified	31.286651	0.850168
Unmodified	31.553113	0.938505
TMT6plex	31.805050	0.751970
Unmodified	33.088017	0.756513
Methyl	34.999999	0.924307
TMT6plex	32.498837	0.893375
Unmodified	32.064396	0.808480
TMT6plex	26.657388	0.653206
Phospho	32.055572	0.947348
Unmodified	34.999999	0.820238
mixed	31.503889	0.664661
TMT6plex	34.140253	0.781329
TMT6plex	34.999999	0.885010
mixed	34.999999	0.766440
TMT6plex	34.999999	0.442110
Unmodified	31.950578	0.912701
Unmodified	31.760147	0.878032
Unmodified	34.999999	0.851813
Unmodified	31.391966	0.575182
Oxidation	33.375743	0.868308
Unmodified	34.999999	0.574467
Unmodified	33.353102	0.078888
Unmodified	31.833684	0.962416
Phospho	34.999999	0.693112
Unmodified	33.061081	0.782184
Unmodified	32.498640	0.847644
Oxidation	33.228427	0.751231
Unmodified	34.999999	0.912390
TMT6plex	34.999999	0.706786
Unmodified	31.684738	0.932095
Phospho	34.999999	0.873219
GlyGly (Ub)	32.132861	0.885860
Oxidation	32.121944	0.807698
Acetyl	31.377679	0.894078
